IBRA - Carteira do Dia 05/02/26
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Saúde/Comércio Distr.;PNVL3;DIMED;ON      NM;71.064.416;0,034;1,487;
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;296.007.718;0,234;1,487;
Saúde/Comércio Distr.;PGMN3;PAGUE MENOS;ON      NM;234.333.051;0,053;1,487;
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.311.428.175;1,152;1,487;
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;447.150.822;0,253;2,153;
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;287.507.905;0,123;2,153;
Saúde/SM Hosp An.Diag;ODPV3;ODONTOPREV;ON      NM;251.735.971;0,103;2,153;
Saúde/SM Hosp An.Diag;ONCO3;ONCOCLINICAS;ON      NM;1.054.759.992;0,092;2,153;
Saúde/SM Hosp An.Diag;QUAL3;QUALICORP;ON      NM;279.655.194;0,021;2,153;
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;1.091.469.308;1,561;2,153;
Tec.Informação/Programas Servs;BMOB3;BEMOBI TECH;ON      NM;79.316.310;0,062;0,826;
Tec.Informação/Programas Servs;LWSA3;LWSA;ON      NM;380.656.363;0,057;0,826;
Tec.Informação/Programas Servs;CASH3;MELIUZ;ON      NM;93.080.385;0,011;0,826;
Tec.Informação/Programas Servs;TOTS3;TOTVS;ON      NM;533.980.424;0,696;0,826;
Telecomunicação;DESK3;DESKTOP;ON      NM;34.770.090;0,018;1,669;
Telecomunicação;VIVT3;TELEF BRASIL;ON;738.065.812;0,966;1,669;
Telecomunicação;TIMS3;TIM;ON      NM;804.628.136;0,685;1,669;
Utilidade Públ / Água Saneamento;CSMG3;COPASA;ON      NM;188.467.895;0,346;4,269;
Utilidade Públ / Água Saneamento;ORVR3;ORIZON;ON      NM;54.399.873;0,136;4,269;
Utilidade Públ / Água Saneamento;SBSP3;SABESP;ON      NM;703.760.624;3,467;4,269;
Utilidade Públ / Água Saneamento;SAPR11;SANEPAR;UNT     N2;201.077.478;0,320;4,269;
Utilidade Públ / Energ Elétrica;ALUP11;ALUPAR;UNT     N2;157.537.587;0,183;13,101;
Utilidade Públ / Energ Elétrica;AURE3;AUREN;ON      NM;318.338.365;0,120;13,101;
Utilidade Públ / Energ Elétrica;AXIA3;AXIA ENERGIA;ON      N1;1.974.649.558;3,726;13,101;
Utilidade Públ / Energ Elétrica;AXIA6;AXIA ENERGIA;PNB     N1;270.655.585;0,544;13,101;
Utilidade Públ / Energ Elétrica;AXIA7;AXIA ENERGIA;PNC     N1;590.151.261;1,075;13,101;
Utilidade Públ / Energ Elétrica;CMIG4;CEMIG;PN      N1;1.904.057.894;0,755;13,101;
Utilidade Públ / Energ Elétrica;CPLE3;COPEL;ON      NM;2.969.191.078;1,342;13,101;
Utilidade Públ / Energ Elétrica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,324;13,101;
Utilidade Públ / Energ Elétrica;ENGI11;ENERGISA;UNT     N2;358.053.350;0,615;13,101;
Utilidade Públ / Energ Elétrica;ENEV3;ENEVA;ON      NM;1.912.889.086;1,366;13,101;
Utilidade Públ / Energ Elétrica;EGIE3;ENGIE BRASIL;ON      NM;357.310.487;0,408;13,101;
Utilidade Públ / Energ Elétrica;EQTL3;EQUATORIAL;ON      NM;1.250.951.305;1,729;13,101;
Utilidade Públ / Energ Elétrica;ISAE4;ISA ENERGIA;PN  EJ  N1;395.801.044;0,385;13,101;
Utilidade Públ / Energ Elétrica;NEOE3;NEOENERGIA;ON      NM;195.592.180;0,218;13,101;
Utilidade Públ / Energ Elétrica;TAEE11;TAESA;UNT     N2;218.568.234;0,311;13,101;
Quantidade Teórica Total;;;;107.782.050.481;100,000;100,000
Redutor;;;;407.042.561,19683277
